,H10,H2,H13,H14,H15
N5_thr60_hold30,0.004573821304228658,0.033286320960597075,0.10899783390160775,0.08773749295771067,0.05087305844364858
N10_thr60_hold30,0.0019137335424943029,0.06582996054759878,0.06789688379298288,0.11036040742632036,0.0064811501478895615
N5_thr75_hold30,0.004573821304228658,0.01174512855169789,0.019141500902783316,0.019249104366763976,0.010966047520808193
N10_thr75_hold30,2.016174161144191e-07,0.03440291318446173,0.07926268874521213,0.08323936389264064,0.02916804533867036
N5_thr90_hold30,0.005689973146222524,0.005023898165684597,0.019036370352444883,0.017592620865051367,0.00032778603888671963
N10_thr90_hold30,0.0227055990011573,0.00048064256494678394,0.017819290511207956,0.01878057264363658,0.021429520997435593
N5_thr60_hold90,0.017493754700445157,0.09731549695215148,0.31073368937526574,0.34142144490731346,0.20530183136439165
N10_thr60_hold90,0.08853530743892526,0.19258513654764958,0.07890532285240588,0.1995162903430723,0.16377123106372254
N5_thr75_hold90,0.017493754700445157,0.09731549695215148,0.27826924084511745,0.31165695003149824,0.014679934748229408
N10_thr75_hold90,0.08853530743892526,0.06670098111104435,0.01311409579693717,0.011572968321629563,0.08117509642137917
N5_thr90_hold90,0.0006229559130199627,0.0005449357804051208,0.07708236326232909,0.09592134083371283,0.07091505485594155
N10_thr90_hold90,0.01032179731966486,0.008999329319176994,0.02781691519871722,0.018342223764688685,0.05327631293622719
N5_thr60_hold180,0.007159745627543248,8.359445452899119e-05,0.7961163513389086,0.7642940381390763,0.24348750966177055
N10_thr60_hold180,0.05091545594183829,0.17259335392248412,0.6769050169250103,0.5853074770609613,0.3807859576742115
N5_thr75_hold180,0.007159745627543248,8.359445452899119e-05,0.6857137040424138,0.6980482490624834,0.0019168223151902685
N10_thr75_hold180,0.05091545594183829,0.10246159001731457,0.6656022447227039,0.633147234879689,0.12774287617800334
N5_thr90_hold180,0.15664122049941767,0.011270065988126042,0.022903409479839418,0.015681645418017073,0.10714409419950814
N10_thr90_hold180,0.0025928086707534006,0.12902173134388492,0.10967044726275649,0.08106037387258891,0.04596021900781606
