ticker,name,sector
BE,BLOOM ENERGY CLASS A CORP,Industrials
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology
STRL,STERLING INFRASTRUCTURE INC,Industrials
IONQ,IONQ INC,Information Technology
FN,FABRINET,Information Technology
NXT,NEXTPOWER INC CLASS A,Industrials
CDE,COEUR MINING INC,Materials
TTMI,TTM TECHNOLOGIES INC,Information Technology
SATS,ECHOSTAR CORP CLASS A,Communication
GH,GUARDANT HEALTH INC,Health Care
RMBS,RAMBUS INC,Information Technology
MOD,MODINE MANUFACTURING,Industrials
SITM,SITIME CORP,Information Technology
DY,DYCOM INDUSTRIES INC,Industrials
SANM,SANMINA CORP,Information Technology
SMTC,SEMTECH CORP,Information Technology
DOCN,DIGITALOCEAN HOLDINGS INC,Information Technology
HUT,HUT CORP,Information Technology
PL,PLANET LABS CLASS A,Industrials
AAOI,APPLIED OPTOELECTRONICS INC,Information Technology
KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials
APLD,APPLIED DIGITAL CORP,Information Technology
HL,HECLA MINING,Materials
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology
VIAV,VIAVI SOLUTIONS INC,Information Technology
QBTS,D WAVE QUANTUM INC,Information Technology
SPXC,SPX TECHNOLOGIES INC,Industrials
MOGA,MOOG INC CLASS A,Industrials
BBIO,BRIDGEBIO PHARMA INC,Health Care
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care
LUMN,LUMEN TECHNOLOGIES INC,Communication
RIOT,RIOT PLATFORMS INC,Information Technology
AXSM,AXSOME THERAPEUTICS INC,Health Care
CYTK,CYTOKINETICS INC,Health Care
GTLS,CHART INDUSTRIES INC,Industrials
UMBF,UMB FINANCIAL CORP,Financials
ENSG,ENSIGN GROUP INC,Health Care
VSAT,VIASAT INC,Information Technology
FORM,FORMFACTOR INC,Information Technology
WULF,TERAWULF INC,Information Technology
CTRE,CARETRUST REIT INC,Real Estate
AGX,ARGAN INC,Industrials
PRAX,PRAXIS PRECISION MEDICINES INC,Health Care
FCFS,FIRSTCASH HOLDINGS INC,Financials
SNEX,STONEX GROUP INC,Financials
CMC,COMMERCIAL METALS,Materials
AHR,AMERICAN HEALTHCARE REIT INC,Real Estate
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials
ENS,ENERSYS,Industrials
RGTI,RIGETTI COMPUTING INC,Information Technology
ORA,ORMAT TECH INC,Utilities
CORZ,CORE SCIENTIFIC INC,Information Technology
POWL,POWELL INDUSTRIES INC,Industrials
MDGL,MADRIGAL PHARMACEUTICALS INC,Health Care
ONB,OLD NATIONAL BANCORP,Financials
OKLO,OKLO INC CLASS A,Utilities
SM,SM ENERGY,Energy
CIFR,CIPHER DIGITAL INC,Information Technology
BTSG,BRIGHTSPRING HEALTH SERVICES INC,Health Care
AVAV,AEROVIRONMENT INC,Industrials
HQY,HEALTHEQUITY INC,Health Care
VICR,VICOR CORP,Industrials
FLR,FLUOR CORP,Industrials
ESE,ESCO TECHNOLOGIES INC,Industrials
KRYS,KRYSTAL BIOTECH INC,Health Care
PLXS,PLEXUS CORP,Information Technology
SLAB,SILICON LABORATORIES INC,Information Technology
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate
MXL,MAXLINEAR INC,Information Technology
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials
JOBY,JOBY AVIATION INC CLASS A,Industrials
MYRG,MYR GROUP INC,Industrials
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary
ALKS,ALKERMES,Health Care
CWAN,CLEARWATER ANALYTICS HOLDINGS INC,Information Technology
JXN,JACKSON FINANCIAL INC CLASS A,Financials
VSH,VISHAY INTERTECHNOLOGY INC,Information Technology
JBTM,JBT MAREL CORP,Industrials
IDCC,INTERDIGITAL INC,Information Technology
VLY,VALLEY NATIONAL,Financials
PRIM,PRIMORIS SERVICES CORP,Industrials
TEX,TEREX CORP,Industrials
UEC,URANIUM ENERGY CORP,Energy
TRNO,TERRENO REALTY REIT CORP,Real Estate
NPO,ENPRO INC,Industrials
LNTH,LANTHEUS HOLDINGS INC,Health Care
FSS,FEDERAL SIGNAL CORP,Industrials
EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary
MAC,MACERICH REIT,Real Estate
KGS,KODIAK GAS SERVICES INC,Energy
IESC,IES INC,Industrials
PCVX,VAXCYTE INC,Health Care
SSRM,SSR MINING INC,Materials
MRCY,MERCURY SYSTEMS INC,Industrials
ACA,ARCOSA INC,Industrials
GVA,GRANITE CONSTRUCTION INC,Industrials
NE,NOBLE CORPORATION PLC,Energy
GBCI,GLACIER BANCORP INC,Financials
TXNM,TXNM ENERGY INC,Utilities
UBSI,UNITED BANKSHARES INC,Financials
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate
GATX,GATX CORP,Industrials
NOVT,NOVANTA INC,Information Technology
KRG,KITE REALTY GROUP TRUST REIT,Real Estate
VAL,VALARIS LTD,Energy
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities
PTCT,PTC THERAPEUTICS INC,Health Care
MATX,MATSON INC,Industrials
RIG,TRANSOCEAN LTD,Energy
GKOS,GLAUKOS CORP,Health Care
HWC,HANCOCK WHITNEY CORP,Financials
HIMS,HIMS HERS HEALTH INC CLASS A,Health Care
AROC,ARCHROCK INC,Energy
MARA,MARA HOLDINGS INC,Information Technology
GTX,GARRETT MOTION INC,Consumer Discretionary
HCC,WARRIOR MET COAL INC,Materials
PTGX,PROTAGONIST THERAPEUTICS INC,Health Care
POR,PORTLAND GENERAL ELECTRIC,Utilities
ROAD,CONSTRUCTION PARTNERS INC CLASS A,Industrials
PIPR,PIPER SANDLER COMPANIES,Financials
COMP,COMPASS INC CLASS A,Real Estate
NJR,NEW JERSEY RESOURCES CORP,Utilities
TGTX,TG THERAPEUTICS INC,Health Care
USAR,USA RARE EARTH INC CLASS A,Materials
ABCB,AMERIS BANCORP,Financials
CVLT,COMMVAULT SYSTEMS INC,Information Technology
BKH,BLACK HILLS CORP,Utilities
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials
ZETA,ZETA GLOBAL HOLDINGS CORP CLASS A,Information Technology
ESNT,ESSENT GROUP LTD,Financials
KLIC,KULICKE AND SOFFA INDUSTRIES INC,Information Technology
SYRE,SPYRE THERAPEUTICS INC,Health Care
AUB,ATLANTIC UNION BANKSHARES CORP,Financials
SYNA,SYNAPTICS INC,Information Technology
BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary
PLUG,PLUG POWER INC,Industrials
SIGI,SELECTIVE INSURANCE GROUP INC,Financials
BCPC,BALCHEM CORP,Materials
YOU,CLEAR SECURE INC CLASS A,Information Technology
MUR,MURPHY OIL CORP,Energy
NVTS,NAVITAS SEMICONDUCTOR CORP,Information Technology
MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy
HASI,HA SUSTAINABLE INFRASTRUCTURE CAPI,Financials
HOMB,HOME BANCSHARES INC,Financials
PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate
COGT,COGENT BIOSCIENCES INC,Health Care
CRSP,CRISPR THERAPEUTICS AG,Health Care
GLNG,GOLAR LNG LTD,Energy
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities
VSEC,VSE CORP,Industrials
CSTM,CONSTELLIUM SE CLASS A,Materials
CLSK,CLEANSPARK INC,Information Technology
CNR,CORE NATURAL RESOURCES INC,Energy
ACIW,ACI WORLDWIDE INC,Information Technology
SBRA,SABRA HEALTH CARE REIT INC,Real Estate
SXT,SENSIENT TECHNOLOGIES CORP,Materials
LTH,LIFE TIME GROUP HOLDINGS INC,Consumer Discretionary
SR,SPIRE INC,Utilities
DIOD,DIODES INC,Information Technology
OUT,OUTFRONT MEDIA INC,Real Estate
IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology
AX,AXOS FINANCIAL INC,Financials
URBN,URBAN OUTFITTERS INC,Consumer Discretionary
OSCR,OSCAR HEALTH INC CLASS A,Financials
NUVL,NUVALENT INC CLASS A,Health Care
LBRT,LIBERTY ENERGY INC CLASS A,Energy
RYTM,RHYTHM PHARMACEUTICALS INC,Health Care
ASB,ASSOCIATED BANCORP,Financials
UFPI,UFP INDUSTRIES INC,Industrials
MTRN,MATERION CORP,Materials
CNX,CNX RESOURCES CORP,Energy
XENE,XENON PHARMACEUTICALS INC,Health Care
MTH,MERITAGE CORP,Consumer Discretionary
RDN,RADIAN GROUP INC,Financials
OGS,ONE GAS INC,Utilities
CBT,CABOT CORP,Materials
POWI,POWER INTEGRATIONS INC,Information Technology
CRC,CALIFORNIA RESOURCES CORP,Energy
KYMR,KYMERA THERAPEUTICS INC,Health Care
KNF,KNIFE RIVER CORP,Materials
LGND,LIGAND PHARMACEUTICALS INC,Health Care
LGN,LEGENCE CORP CLASS A,Industrials
PRM,PERIMETER SOLUTIONS INC,Materials
CNO,CNO FINANCIAL GROUP INC,Financials
PSMT,PRICESMART INC,Consumer Staples
FTDR,FRONTDOOR INC,Consumer Discretionary
RXO,RXO INC,Industrials
TCBI,TEXAS CAPITAL BANCSHARES INC,Financials
INDV,INDIVIOR PHARMACEUTICALS INC,Health Care
CELC,CELCUITY INC,Health Care
AIR,AAR CORP,Industrials
FFIN,FIRST FINANCIAL BANKSHARES INC,Financials
BCO,BRINKS,Industrials
CSW,CSW INDUSTRIALS INC,Industrials
MIR,MIRION TECHNOLOGIES INC CLASS A,Information Technology
LUNR,INTUITIVE MACHINES INC CLASS A,Industrials
HRI,HERC HOLDINGS INC,Industrials
MC,MOELIS CLASS A,Financials
NWE,NORTHWESTERN ENERGY GROUP INC,Utilities
EBC,EASTERN BANKSHARES INC,Financials
