config,n,threshold_pct,holding_days,ticker,entry_date,exit_date,status,entry_price,exit_price,return_pct,hold_days
N10_thr60_hold180,10,60,180,BATRA,2025-02-03,2025-09-02,CLOSED,43.91,46.53,5.97,211.0
N10_thr60_hold180,10,60,180,KALV,2025-03-03,2025-09-02,CLOSED,10.87,14.29,31.46,183.0
N10_thr60_hold180,10,60,180,MBX,2025-03-03,2025-09-02,CLOSED,10.14,14.57,43.69,183.0
N10_thr60_hold180,10,60,180,STAA,2025-03-03,2025-09-02,CLOSED,16.47,27.74,68.43,183.0
N10_thr60_hold180,10,60,180,GSAT,2025-04-01,2025-10-01,CLOSED,20.71,39.16,89.09,183.0
N10_thr60_hold180,10,60,180,GWRS,2025-04-01,2025-10-01,CLOSED,9.9717,9.7389,-2.33,183.0
N10_thr60_hold180,10,60,180,IMMR,2025-04-01,2025-10-01,CLOSED,7.4202,7.0668,-4.76,183.0
N10_thr60_hold180,10,60,180,JAKK,2025-04-01,2025-10-01,CLOSED,23.2692,18.0063,-22.62,183.0
N10_thr60_hold180,10,60,180,JELD,2025-04-01,2025-10-01,CLOSED,5.84,4.91,-15.92,183.0
N10_thr60_hold180,10,60,180,TDW,2025-04-01,2025-10-01,CLOSED,42.96,54.8,27.56,183.0
N10_thr60_hold180,10,60,180,CDXS,2025-09-02,,OPEN_AT_YEAR_END,2.51,,,
N10_thr60_hold180,10,60,180,MDGL,2025-09-02,,OPEN_AT_YEAR_END,436.11,,,
N10_thr60_hold180,10,60,180,PRME,2025-09-02,,OPEN_AT_YEAR_END,3.12,,,
N10_thr60_hold180,10,60,180,SONO,2025-09-02,,OPEN_AT_YEAR_END,13.74,,,
N10_thr60_hold180,10,60,180,PAMT,2025-10-01,,OPEN_AT_YEAR_END,10.77,,,
N10_thr60_hold180,10,60,180,REPX,2025-10-01,,OPEN_AT_YEAR_END,26.2667,,,
N10_thr60_hold180,10,60,180,RIG,2025-10-01,,OPEN_AT_YEAR_END,3.23,,,
N10_thr60_hold180,10,60,180,UAMY,2025-10-01,,OPEN_AT_YEAR_END,7.55,,,
N10_thr60_hold180,10,60,180,GWRS,2025-11-03,,OPEN_AT_YEAR_END,9.8299,,,
N10_thr60_hold180,10,60,180,KNTK,2025-11-03,,OPEN_AT_YEAR_END,36.6286,,,
N10_thr60_hold30,10,60,30,BATRA,2025-02-03,2025-07-01,CLOSED,43.91,48.82,11.18,148.0
N10_thr60_hold30,10,60,30,KALV,2025-03-03,2025-05-01,CLOSED,10.87,13.6,25.12,59.0
N10_thr60_hold30,10,60,30,MBX,2025-03-03,2025-05-01,CLOSED,10.14,11.28,11.24,59.0
N10_thr60_hold30,10,60,30,STAA,2025-03-03,2025-07-01,CLOSED,16.47,17.02,3.34,120.0
N10_thr60_hold30,10,60,30,GSAT,2025-04-01,2025-08-01,CLOSED,20.71,23.15,11.78,122.0
N10_thr60_hold30,10,60,30,GWRS,2025-04-01,2025-05-01,CLOSED,9.9717,9.9668,-0.05,30.0
N10_thr60_hold30,10,60,30,IMMR,2025-04-01,2025-06-02,CLOSED,7.4202,7.1681,-3.4,62.0
N10_thr60_hold30,10,60,30,JAKK,2025-04-01,2025-05-01,CLOSED,23.2692,17.29,-25.7,30.0
N10_thr60_hold30,10,60,30,JELD,2025-04-01,2025-07-01,CLOSED,5.84,4.29,-26.54,91.0
N10_thr60_hold30,10,60,30,TDW,2025-04-01,2025-06-02,CLOSED,42.96,40.26,-6.28,62.0
N10_thr60_hold30,10,60,30,CDXS,2025-05-01,2025-06-02,CLOSED,2.32,2.25,-3.02,32.0
N10_thr60_hold30,10,60,30,CVI,2025-05-01,2025-08-01,CLOSED,19.2923,24.9853,29.51,92.0
N10_thr60_hold30,10,60,30,SEI,2025-05-01,2025-06-02,CLOSED,22.6608,27.3214,20.57,32.0
N10_thr60_hold30,10,60,30,ZYME,2025-05-01,2025-07-01,CLOSED,12.88,12.41,-3.65,61.0
N10_thr60_hold30,10,60,30,HTLD,2025-06-02,2025-08-01,CLOSED,8.5537,7.4808,-12.54,60.0
N10_thr60_hold30,10,60,30,OEC,2025-06-02,2025-08-01,CLOSED,10.5539,9.2086,-12.75,60.0
N10_thr60_hold30,10,60,30,ONEW,2025-06-02,2025-08-01,CLOSED,13.87,15.75,13.55,60.0
N10_thr60_hold30,10,60,30,STGW,2025-06-02,2025-09-02,CLOSED,4.16,5.59,34.38,92.0
N10_thr60_hold30,10,60,30,KYMR,2025-07-01,2025-10-01,CLOSED,44.44,54.66,23.0,92.0
N10_thr60_hold30,10,60,30,SLSN,2025-07-01,2025-09-02,CLOSED,4.34,3.63,-16.36,63.0
N10_thr60_hold30,10,60,30,TDW,2025-07-01,2025-09-02,CLOSED,47.7,58.75,23.17,63.0
N10_thr60_hold30,10,60,30,TYRA,2025-07-01,2025-09-02,CLOSED,9.72,12.53,28.91,63.0
N10_thr60_hold30,10,60,30,BRCC,2025-08-01,2025-10-01,CLOSED,1.64,1.56,-4.88,61.0
N10_thr60_hold30,10,60,30,CDXS,2025-08-01,2025-11-03,CLOSED,2.69,2.26,-15.99,94.0
N10_thr60_hold30,10,60,30,EML,2025-08-01,2025-10-01,CLOSED,21.5585,22.7324,5.45,61.0
N10_thr60_hold30,10,60,30,REPX,2025-08-01,2025-09-02,CLOSED,24.3939,28.8693,18.35,32.0
N10_thr60_hold30,10,60,30,SONO,2025-08-01,2025-11-03,CLOSED,10.36,16.81,62.26,94.0
N10_thr60_hold30,10,60,30,AAOI,2025-09-02,2025-11-03,CLOSED,23.35,33.04,41.5,62.0
N10_thr60_hold30,10,60,30,HTLD,2025-09-02,2025-11-03,CLOSED,8.3153,7.6778,-7.67,62.0
N10_thr60_hold30,10,60,30,MDGL,2025-09-02,2025-11-03,CLOSED,436.11,412.35,-5.45,62.0
N10_thr60_hold30,10,60,30,CELC,2025-10-01,2025-11-03,CLOSED,45.22,75.19,66.28,33.0
N10_thr60_hold30,10,60,30,PAMT,2025-10-01,2025-12-01,CLOSED,10.77,9.01,-16.34,61.0
N10_thr60_hold30,10,60,30,REPX,2025-10-01,2025-11-03,CLOSED,26.2667,25.2974,-3.69,33.0
N10_thr60_hold30,10,60,30,RIG,2025-10-01,,OPEN_AT_YEAR_END,3.23,,,
N10_thr60_hold30,10,60,30,UAMY,2025-10-01,2025-12-01,CLOSED,7.55,5.48,-27.42,61.0
N10_thr60_hold30,10,60,30,GWRS,2025-11-03,,OPEN_AT_YEAR_END,9.8299,,,
N10_thr60_hold30,10,60,30,KNTK,2025-11-03,,OPEN_AT_YEAR_END,36.6286,,,
N10_thr60_hold30,10,60,30,MPLT,2025-11-03,,OPEN_AT_YEAR_END,16.91,,,
N10_thr60_hold30,10,60,30,ONEW,2025-11-03,,OPEN_AT_YEAR_END,15.6,,,
N10_thr60_hold30,10,60,30,VRDN,2025-11-03,,OPEN_AT_YEAR_END,23.15,,,
N10_thr60_hold30,10,60,30,WDFC,2025-11-03,,OPEN_AT_YEAR_END,192.7647,,,
N10_thr60_hold30,10,60,30,ZBIO,2025-11-03,,OPEN_AT_YEAR_END,31.33,,,
N10_thr60_hold30,10,60,30,BATRA,2025-12-01,,OPEN_AT_YEAR_END,43.14,,,
N10_thr60_hold30,10,60,30,NRDY,2025-12-01,,OPEN_AT_YEAR_END,1.23,,,
N10_thr60_hold90,10,60,90,BATRA,2025-02-03,2025-07-01,CLOSED,43.91,48.82,11.18,148.0
N10_thr60_hold90,10,60,90,KALV,2025-03-03,2025-06-02,CLOSED,10.87,12.92,18.86,91.0
N10_thr60_hold90,10,60,90,MBX,2025-03-03,2025-06-02,CLOSED,10.14,13.14,29.59,91.0
N10_thr60_hold90,10,60,90,STAA,2025-03-03,2025-07-01,CLOSED,16.47,17.02,3.34,120.0
N10_thr60_hold90,10,60,90,GSAT,2025-04-01,2025-08-01,CLOSED,20.71,23.15,11.78,122.0
N10_thr60_hold90,10,60,90,GWRS,2025-04-01,2025-07-01,CLOSED,9.9717,10.1028,1.31,91.0
N10_thr60_hold90,10,60,90,IMMR,2025-04-01,2025-07-01,CLOSED,7.4202,7.6312,2.84,91.0
N10_thr60_hold90,10,60,90,JAKK,2025-04-01,2025-07-01,CLOSED,23.2692,19.6866,-15.4,91.0
N10_thr60_hold90,10,60,90,JELD,2025-04-01,2025-07-01,CLOSED,5.84,4.29,-26.54,91.0
N10_thr60_hold90,10,60,90,TDW,2025-04-01,2025-09-02,CLOSED,42.96,58.75,36.76,154.0
N10_thr60_hold90,10,60,90,OEC,2025-06-02,2025-09-02,CLOSED,10.5539,10.3634,-1.81,92.0
N10_thr60_hold90,10,60,90,STGW,2025-06-02,2025-09-02,CLOSED,4.16,5.59,34.38,92.0
N10_thr60_hold90,10,60,90,CVI,2025-07-01,2025-10-01,CLOSED,27.7869,36.461,31.22,92.0
N10_thr60_hold90,10,60,90,HTLD,2025-07-01,2025-10-01,CLOSED,8.8716,8.2952,-6.5,92.0
N10_thr60_hold90,10,60,90,KYMR,2025-07-01,2025-10-01,CLOSED,44.44,54.66,23.0,92.0
N10_thr60_hold90,10,60,90,SLSN,2025-07-01,2025-10-01,CLOSED,4.34,3.24,-25.35,92.0
N10_thr60_hold90,10,60,90,TYRA,2025-07-01,2025-10-01,CLOSED,9.72,13.42,38.07,92.0
N10_thr60_hold90,10,60,90,VERA,2025-07-01,2025-10-01,CLOSED,23.0,28.79,25.17,92.0
N10_thr60_hold90,10,60,90,REPX,2025-08-01,2025-11-03,CLOSED,24.3939,25.2974,3.7,94.0
N10_thr60_hold90,10,60,90,AAOI,2025-09-02,2025-12-01,CLOSED,23.35,26.53,13.62,90.0
N10_thr60_hold90,10,60,90,BRCC,2025-09-02,2025-12-01,CLOSED,1.54,1.25,-18.83,90.0
N10_thr60_hold90,10,60,90,SONO,2025-09-02,2025-12-01,CLOSED,13.74,18.55,35.01,90.0
N10_thr60_hold90,10,60,90,CELC,2025-10-01,,OPEN_AT_YEAR_END,45.22,,,
N10_thr60_hold90,10,60,90,LAB,2025-10-01,,OPEN_AT_YEAR_END,1.28,,,
N10_thr60_hold90,10,60,90,MDGL,2025-10-01,,OPEN_AT_YEAR_END,449.14,,,
N10_thr60_hold90,10,60,90,PAMT,2025-10-01,,OPEN_AT_YEAR_END,10.77,,,
N10_thr60_hold90,10,60,90,RIG,2025-10-01,,OPEN_AT_YEAR_END,3.23,,,
N10_thr60_hold90,10,60,90,UAMY,2025-10-01,,OPEN_AT_YEAR_END,7.55,,,
N10_thr60_hold90,10,60,90,KNTK,2025-11-03,,OPEN_AT_YEAR_END,36.6286,,,
N10_thr60_hold90,10,60,90,BATRA,2025-12-01,,OPEN_AT_YEAR_END,43.14,,,
N10_thr60_hold90,10,60,90,NRDY,2025-12-01,,OPEN_AT_YEAR_END,1.23,,,
N10_thr60_hold90,10,60,90,ONEW,2025-12-01,,OPEN_AT_YEAR_END,11.29,,,
N10_thr75_hold180,10,75,180,BATRA,2025-02-03,2025-09-02,CLOSED,43.91,46.53,5.97,211.0
N10_thr75_hold180,10,75,180,KALV,2025-03-03,2025-09-02,CLOSED,10.87,14.29,31.46,183.0
N10_thr75_hold180,10,75,180,MBX,2025-03-03,2025-09-02,CLOSED,10.14,14.57,43.69,183.0
N10_thr75_hold180,10,75,180,STAA,2025-03-03,2025-09-02,CLOSED,16.47,27.74,68.43,183.0
N10_thr75_hold180,10,75,180,GSAT,2025-04-01,2025-10-01,CLOSED,20.71,39.16,89.09,183.0
N10_thr75_hold180,10,75,180,GWRS,2025-04-01,2025-10-01,CLOSED,9.9717,9.7389,-2.33,183.0
N10_thr75_hold180,10,75,180,IMMR,2025-04-01,2025-10-01,CLOSED,7.4202,7.0668,-4.76,183.0
N10_thr75_hold180,10,75,180,JAKK,2025-04-01,2025-10-01,CLOSED,23.2692,18.0063,-22.62,183.0
N10_thr75_hold180,10,75,180,JELD,2025-04-01,2025-10-01,CLOSED,5.84,4.91,-15.92,183.0
N10_thr75_hold180,10,75,180,TDW,2025-04-01,2025-10-01,CLOSED,42.96,54.8,27.56,183.0
N10_thr75_hold180,10,75,180,CDXS,2025-09-02,,OPEN_AT_YEAR_END,2.51,,,
N10_thr75_hold180,10,75,180,MDGL,2025-09-02,,OPEN_AT_YEAR_END,436.11,,,
N10_thr75_hold180,10,75,180,PRME,2025-09-02,,OPEN_AT_YEAR_END,3.12,,,
N10_thr75_hold180,10,75,180,SONO,2025-09-02,,OPEN_AT_YEAR_END,13.74,,,
N10_thr75_hold180,10,75,180,PAMT,2025-10-01,,OPEN_AT_YEAR_END,10.77,,,
N10_thr75_hold180,10,75,180,RIG,2025-10-01,,OPEN_AT_YEAR_END,3.23,,,
N10_thr75_hold180,10,75,180,UAMY,2025-10-01,,OPEN_AT_YEAR_END,7.55,,,
N10_thr75_hold180,10,75,180,GWRS,2025-11-03,,OPEN_AT_YEAR_END,9.8299,,,
N10_thr75_hold180,10,75,180,KNTK,2025-11-03,,OPEN_AT_YEAR_END,36.6286,,,
N10_thr75_hold180,10,75,180,ONEW,2025-12-01,,OPEN_AT_YEAR_END,11.29,,,
N10_thr75_hold30,10,75,30,BATRA,2025-02-03,2025-07-01,CLOSED,43.91,48.82,11.18,148.0
N10_thr75_hold30,10,75,30,KALV,2025-03-03,2025-05-01,CLOSED,10.87,13.6,25.12,59.0
N10_thr75_hold30,10,75,30,MBX,2025-03-03,2025-05-01,CLOSED,10.14,11.28,11.24,59.0
N10_thr75_hold30,10,75,30,STAA,2025-03-03,2025-07-01,CLOSED,16.47,17.02,3.34,120.0
N10_thr75_hold30,10,75,30,GSAT,2025-04-01,2025-08-01,CLOSED,20.71,23.15,11.78,122.0
N10_thr75_hold30,10,75,30,GWRS,2025-04-01,2025-05-01,CLOSED,9.9717,9.9668,-0.05,30.0
N10_thr75_hold30,10,75,30,IMMR,2025-04-01,2025-06-02,CLOSED,7.4202,7.1681,-3.4,62.0
N10_thr75_hold30,10,75,30,JAKK,2025-04-01,2025-05-01,CLOSED,23.2692,17.29,-25.7,30.0
N10_thr75_hold30,10,75,30,JELD,2025-04-01,2025-07-01,CLOSED,5.84,4.29,-26.54,91.0
N10_thr75_hold30,10,75,30,TDW,2025-04-01,2025-06-02,CLOSED,42.96,40.26,-6.28,62.0
N10_thr75_hold30,10,75,30,CDXS,2025-05-01,2025-06-02,CLOSED,2.32,2.25,-3.02,32.0
N10_thr75_hold30,10,75,30,CVI,2025-05-01,2025-08-01,CLOSED,19.2923,24.9853,29.51,92.0
N10_thr75_hold30,10,75,30,SEI,2025-05-01,2025-06-02,CLOSED,22.6608,27.3214,20.57,32.0
N10_thr75_hold30,10,75,30,ZYME,2025-05-01,2025-07-01,CLOSED,12.88,12.41,-3.65,61.0
N10_thr75_hold30,10,75,30,HTLD,2025-06-02,2025-08-01,CLOSED,8.5537,7.4808,-12.54,60.0
N10_thr75_hold30,10,75,30,OEC,2025-06-02,2025-08-01,CLOSED,10.5539,9.2086,-12.75,60.0
N10_thr75_hold30,10,75,30,ONEW,2025-06-02,2025-08-01,CLOSED,13.87,15.75,13.55,60.0
N10_thr75_hold30,10,75,30,STGW,2025-06-02,2025-09-02,CLOSED,4.16,5.59,34.38,92.0
N10_thr75_hold30,10,75,30,KYMR,2025-07-01,2025-10-01,CLOSED,44.44,54.66,23.0,92.0
N10_thr75_hold30,10,75,30,SLSN,2025-07-01,2025-09-02,CLOSED,4.34,3.63,-16.36,63.0
