config,ticker,entry_date,exit_date,status,entry_price,exit_price,return_pct,hold_days
N10_thr90_hold30,BATRA,2025-02-03,2025-04-01,CLOSED,43.91,43.69,-0.5,57.0
N10_thr90_hold30,KALV,2025-03-03,2025-05-01,CLOSED,10.87,13.6,25.12,59.0
N10_thr90_hold30,GSAT,2025-04-01,2025-08-01,CLOSED,20.71,23.15,11.78,122.0
N10_thr90_hold30,IMMR,2025-04-01,2025-06-02,CLOSED,7.4202,7.1681,-3.4,62.0
N10_thr90_hold30,STAA,2025-04-01,2025-07-01,CLOSED,17.6,17.02,-3.3,91.0
N10_thr90_hold30,TDW,2025-04-01,2025-06-02,CLOSED,42.96,40.26,-6.28,62.0
N10_thr90_hold30,ZYME,2025-04-01,2025-05-01,CLOSED,11.62,12.88,10.84,30.0
N10_thr90_hold30,BATRA,2025-05-01,2025-06-02,CLOSED,43.3,43.68,0.88,32.0
N10_thr90_hold30,CVI,2025-05-01,2025-07-01,CLOSED,19.2923,27.7869,44.03,61.0
N10_thr90_hold30,JELD,2025-06-02,2025-08-01,CLOSED,3.62,4.53,25.14,60.0
N10_thr90_hold30,OEC,2025-06-02,2025-08-01,CLOSED,10.5539,9.2086,-12.75,60.0
N10_thr90_hold30,STGW,2025-06-02,2025-09-02,CLOSED,4.16,5.59,34.38,92.0
N10_thr90_hold30,SLSN,2025-07-01,2025-08-01,CLOSED,4.34,2.78,-35.94,31.0
N10_thr90_hold30,TDW,2025-07-01,2025-08-01,CLOSED,47.7,47.53,-0.36,31.0
N10_thr90_hold30,TYRA,2025-07-01,2025-09-02,CLOSED,9.72,12.53,28.91,63.0
N10_thr90_hold30,BRCC,2025-08-01,2025-09-02,CLOSED,1.64,1.54,-6.1,32.0
N10_thr90_hold30,CDXS,2025-08-01,2025-10-01,CLOSED,2.69,2.5,-7.06,61.0
N10_thr90_hold30,REPX,2025-08-01,2025-09-02,CLOSED,24.3939,28.8693,18.35,32.0
N10_thr90_hold30,MDGL,2025-09-02,2025-11-03,CLOSED,436.11,412.35,-5.45,62.0
N10_thr90_hold30,SONO,2025-09-02,2025-11-03,CLOSED,13.74,16.81,22.34,62.0
N10_thr90_hold30,CELC,2025-10-01,2025-11-03,CLOSED,45.22,75.19,66.28,33.0
N10_thr90_hold30,RIG,2025-10-01,2025-12-01,CLOSED,3.23,4.35,34.67,61.0
N10_thr90_hold30,KNTK,2025-11-03,,OPEN_AT_YEAR_END,36.6286,,,
N10_thr90_hold30,MPLT,2025-11-03,,OPEN_AT_YEAR_END,16.91,,,
N10_thr90_hold30,VRDN,2025-11-03,,OPEN_AT_YEAR_END,23.15,,,
N10_thr90_hold30,BATRA,2025-12-01,,OPEN_AT_YEAR_END,43.14,,,
N10_thr90_hold30,ONEW,2025-12-01,,OPEN_AT_YEAR_END,11.29,,,
N10_thr90_hold30,TRDA,2025-12-01,,OPEN_AT_YEAR_END,9.91,,,
